round,algorithm,seed,test_accuracy,round_train_seconds,selected_clients,task_seeds,global_state_sha256,total_reset_slots,targeted_reset_slots,replaced_reset_slots,targeted_clients,fallback_clients,fallback_client_layers,history_memory_bytes,source_support_sha256,rng_unchanged,failed_client_updates
16,HistoryIdentityPopulation,1,46.720001220703125,9.600302399980137,"[60, 13, 26, 12, 1, 28, 88, 86, 11, 43]","[1700046, 1701043, 1702040, 1703037, 1704034, 1705031, 1706028, 1707025, 1708022, 1709019]",5aaf6b8fbd3dc5473d11060bd5ca7c12b5cd0aab470ffafdb0b47bf02161ce73,660,0,0,0,0,0,1584000,8888a7a16176598644b49342168a30c3fea3d0080fb6d79189da1faae132fcf5,True,0
17,HistoryIdentityPopulation,1,45.529998779296875,10.047912999987602,"[93, 16, 72, 75, 10, 4, 38, 71, 42, 62]","[1800049, 1801046, 1802043, 1803040, 1804037, 1805034, 1806031, 1807028, 1808025, 1809022]",32c9882c326a3283c5391d8b9bf1f28bca3f0b0e7110e3d035dd9a402ba1dc1a,660,0,0,0,0,0,1605120,3f3ac76b14a98435fb043976b4d5e0d502ef5a3b6e6bdcd9768fa856af7422fc,True,0
18,HistoryIdentityPopulation,1,35.709999084472656,10.87542300001951,"[36, 47, 1, 64, 57, 97, 29, 6, 67, 92]","[1900052, 1901049, 1902046, 1903043, 1904040, 1905037, 1906034, 1907031, 1908028, 1909025]",1799d2b8ebbb42025925aaa2e12b4a964c6df1f280d7816b1e79255f74185d58,660,0,0,0,0,0,1626240,f0ad33992ba2d1f9521c6202e771e4f3f230906baa2cc03c5affb366233ec93c,True,0
19,HistoryIdentityPopulation,1,44.220001220703125,12.007708699995419,"[48, 87, 17, 57, 22, 81, 4, 51, 94, 63]","[2000055, 2001052, 2002049, 2003046, 2004043, 2005040, 2006037, 2007034, 2008031, 2009028]",38a3c3b8af9a766b0cccbf47012eab40de45ec2be9bedb936228727d23583123,660,0,0,0,0,0,1710720,2d8161a10876062a4cd1cbedc02d7529ccfa88adf80c6a4d3753b04253e1b464,True,0
20,HistoryIdentityPopulation,1,45.060001373291016,12.104362399986712,"[9, 17, 59, 11, 2, 95, 68, 28, 60, 14]","[2100058, 2101055, 2102052, 2103049, 2104046, 2105043, 2106040, 2107037, 2108034, 2109031]",18711ce1ba79affefda06755fcc3655af13b84372d1b823d6108fe3d26a90d9b,660,0,0,0,0,0,1774080,ecb93169efe9332bce09d3abcbb9137adb4cb84b12e3fdc116364e9db88fc4ac,True,0
21,HistoryIdentityPopulation,1,52.31999969482422,10.269492099992931,"[26, 25, 15, 93, 45, 54, 68, 90, 76, 10]","[2200061, 2201058, 2202055, 2203052, 2204049, 2205046, 2206043, 2207040, 2208037, 2209034]",b2d544f11c4c0e9e218a442dd5736517aba0e776497f592f1e29e278370ccacd,660,0,0,0,0,0,1816320,43057fdbd1d5b2d56a6bd110a63dfce62e924a670097b37efe7d46dfe51bae27,True,0
22,HistoryIdentityPopulation,1,56.310001373291016,9.066911900008563,"[84, 74, 93, 1, 48, 44, 29, 26, 94, 75]","[2300064, 2301061, 2302058, 2303055, 2304052, 2305049, 2306046, 2307043, 2308040, 2309037]",4a42252c01ff8a668303c4684b039588af7a1a3db5def862a2ab07f38f1cf84b,660,0,0,0,0,0,1837440,12cf6f4e057b3f8ac5e2e4c23b2f5191302ae4b3eb18931d00678cb1c7229b68,True,0
23,HistoryIdentityPopulation,1,49.59000015258789,11.083111499989172,"[71, 58, 50, 22, 59, 84, 10, 70, 43, 67]","[2400067, 2401064, 2402061, 2403058, 2404055, 2405052, 2406049, 2407046, 2408043, 2409040]",d399e4faad784888d02ca559e41a0833e071fc5d1668b43e4c938de32fd546c6,660,0,0,0,0,0,1837440,fab9c615285bd4a429c89d0aca54e3cb99663e4f8330724f0746828e7d31215a,True,0
24,HistoryIdentityPopulation,1,51.36000061035156,12.149270800000522,"[70, 54, 33, 75, 31, 58, 17, 6, 3, 51]","[2500070, 2501067, 2502064, 2503061, 2504058, 2505055, 2506052, 2507049, 2508046, 2509043]",d6fed7d28826e74c75d64c99b79fe17dd4732a25202bc4f80b5d9f023d916a16,660,0,0,0,0,0,1858560,f56bfc8a3ad9ac8fae2cf41751dbed81650243fd2d14c764b1fa3d2c89340dca,True,0
25,HistoryIdentityPopulation,1,55.150001525878906,10.698830700013787,"[42, 87, 33, 36, 30, 84, 78, 98, 71, 75]","[2600073, 2601070, 2602067, 2603064, 2604061, 2605058, 2606055, 2607052, 2608049, 2609046]",e98fe0b68ce1108c5c9fb30c0f665bd48a492c8a2fbd9caf7efabfad3e32a041,660,0,0,0,0,0,1879680,f9d419b31c3574d5ed1e58aff8445dbb20301095db5467de392e59ff2bfa7e4e,True,0
26,HistoryIdentityPopulation,1,51.04999923706055,10.273345399997197,"[41, 47, 34, 10, 51, 11, 50, 16, 86, 64]","[2700076, 2701073, 2702070, 2703067, 2704064, 2705061, 2706058, 2707055, 2708052, 2709049]",ae0ce974f2410426cacebe2a79574c0aa4be1f9ac02fdc86a5f10e4b467795a5,660,0,0,0,0,0,1900800,c5b0c10d80f4273b79351dafdb70199cf0468fd45e7cd71f30d3d5474ae93798,True,0
27,HistoryIdentityPopulation,1,51.61000061035156,11.541032100009033,"[58, 82, 63, 50, 98, 84, 4, 46, 65, 88]","[2800079, 2801076, 2802073, 2803070, 2804067, 2805064, 2806061, 2807058, 2808055, 2809052]",278d809bda834a764e535ba55f464803e3afa19876a4d671076928cb578165d0,660,0,0,0,0,0,1921920,cb722bc6789abaf89eee8d37b44493a31bd03b5f5cbe792ac8089ae441ab5d59,True,0
28,HistoryIdentityPopulation,1,51.5,8.812483699992299,"[99, 88, 69, 16, 46, 29, 90, 91, 4, 45]","[2900082, 2901079, 2902076, 2903073, 2904070, 2905067, 2906064, 2907061, 2908058, 2909055]",63cb20c1f8ca2140ce3da9e6311939337fd68a42b3bb199d9f4e20ab0fb3ac7f,660,0,0,0,0,0,1921920,d9e16aeeee104395a9e28ddf57bb6bcedfcb0b398241bb68c5d81fa5dedaa6cb,True,0
29,HistoryIdentityPopulation,1,47.15999984741211,12.368411299976287,"[80, 73, 28, 34, 1, 10, 13, 65, 5, 49]","[3000085, 3001082, 3002079, 3003076, 3004073, 3005070, 3006067, 3007064, 3008061, 3009058]",0b1e32b4eca58a1bbaaf9b362f8129a90810ab83b0b404dd8281395abea30eef,660,0,0,0,0,0,1921920,b9d63b5d25c44cd9532a096903a5c8955002aa454859f12737a6720f5c947f95,True,0
30,HistoryIdentityPopulation,1,56.86000061035156,9.777795600006357,"[62, 41, 74, 11, 99, 8, 75, 26, 81, 85]","[3100088, 3101085, 3102082, 3103079, 3104076, 3105073, 3106070, 3107067, 3108064, 3109061]",698df8206ea7b9aa2a1d0f9e16bf9c9ad8c3d94132d294bb1dbc7c19961a2fb1,660,0,0,0,0,0,1943040,07f43aab1d6a8052e0adc5bf8c6b7131d40d966d574bcca7d2e23fe4f5b5df34,True,0
31,HistoryIdentityPopulation,1,57.20000076293945,7.6450141000095755,"[96, 81, 77, 83, 14, 50, 13, 67, 53, 91]","[3200091, 3201088, 3202085, 3203082, 3204079, 3205076, 3206073, 3207070, 3208067, 3209064]",041f461ee7a6a0e9880c0f8f16055b4218054cec85032e234142240362dd44d6,660,0,0,0,0,0,1943040,5d15cb2caa1c0f9b927b443ae3e29f2071ba78d0c8b553b9b3d9068d51a67ca3,True,0
32,HistoryIdentityPopulation,1,57.790000915527344,10.778851600014605,"[40, 73, 70, 3, 6, 94, 1, 25, 20, 10]","[3300094, 3301091, 3302088, 3303085, 3304082, 3305079, 3306076, 3307073, 3308070, 3309067]",1be4ac320530c79e2ecb7f7bda6213ff5825f1b4ac43b215cdf9743a1f4bff98,660,0,0,0,0,0,1985280,32cf352d338063f0a81c1adae283ed49a96d569bc0c6776b5784a8f9590d9330,True,0
33,HistoryIdentityPopulation,1,56.36000061035156,10.1545630999899,"[45, 16, 51, 88, 17, 78, 36, 44, 21, 62]","[3400097, 3401094, 3402091, 3403088, 3404085, 3405082, 3406079, 3407076, 3408073, 3409070]",2212bee3e7f00e172d34461831e3cbde0089841f35249c8438ef7f7234df0186,660,0,0,0,0,0,2006400,ca2922d220c38bb0a971c7c0d2513f6c331f65cff6d9d432cbee2de69c2be341,True,0
34,HistoryIdentityPopulation,1,66.2300033569336,7.618087300012121,"[92, 43, 97, 61, 58, 67, 1, 98, 30, 75]","[3500100, 3501097, 3502094, 3503091, 3504088, 3505085, 3506082, 3507079, 3508076, 3509073]",f4fd6cea7db8de192b25f1fa4eec1dca1c241878ed2f98c2564efa57818520b1,660,0,0,0,0,0,2027520,f58caa0c4fd59e99089cce88a826c5cf505ba2f2dda283256726adadf1c338be,True,0
35,HistoryIdentityPopulation,1,55.4900016784668,9.800794899987523,"[31, 89, 17, 66, 92, 23, 96, 9, 35, 20]","[3600103, 3601100, 3602097, 3603094, 3604091, 3605088, 3606085, 3607082, 3608079, 3609076]",8a8abf4582d937e3fa02adda914ac03d8893d6ee7c707549b87a621ae6f428ae,660,0,0,0,0,0,2027520,fbc9d81028cb493fdda17616910b7d1a6cfbb93b7f2c89f099b9a9cc0ecbf186,True,0
36,HistoryIdentityPopulation,1,53.540000915527344,12.427974899997935,"[72, 68, 65, 28, 23, 85, 16, 60, 73, 78]","[3700106, 3701103, 3702100, 3703097, 3704094, 3705091, 3706088, 3707085, 3708082, 3709079]",45fe513856c9de8d515df16532fefe0b161ca285457e457b50507c1c00814a5a,660,0,0,0,0,0,2027520,750408fd25a7a0931794ef53420612d7e87d08de1aab5d25444de1517506bc7b,True,0
37,HistoryIdentityPopulation,1,61.36000061035156,9.799209599994356,"[66, 49, 62, 9, 84, 68, 74, 3, 44, 71]","[3800109, 3801106, 3802103, 3803100, 3804097, 3805094, 3806091, 3807088, 3808085, 3809082]",56ba993dadbffa65e7e4d3fde1210f8a82c5d4dd1f3614de90bbbbe341cd6677,660,0,0,0,0,0,2027520,570a21621c15bfd49b8249318bcfb33c7c1f96052787f62a473ce917b5ff808e,True,0
38,HistoryIdentityPopulation,1,57.97999954223633,7.889009399979841,"[50, 73, 27, 38, 8, 53, 21, 14, 28, 64]","[3900112, 3901109, 3902106, 3903103, 3904100, 3905097, 3906094, 3907091, 3908088, 3909085]",cdbfb9e34da2236815af03d5b993498b4d1a70e26454809f0adfde4489f084f6,660,0,0,0,0,0,2027520,44495f7239d315c3e41a750ae47424078121ed836ec1f635e338558069ff67b7,True,0
39,HistoryIdentityPopulation,1,59.81999969482422,9.380158900021343,"[48, 87, 40, 59, 3, 10, 75, 35, 49, 89]","[4000115, 4001112, 4002109, 4003106, 4004103, 4005100, 4006097, 4007094, 4008091, 4009088]",2a0489e949b2c1b10b3b51df4f1718bf2f84be8532e041b40f53279e51070ba2,660,0,0,0,0,0,2027520,5376689da67838b4ad4874ed9ea4580c75406d8195199cd612c802cc81ffe7e3,True,0
40,HistoryIdentityPopulation,1,65.27999877929688,8.896445499995025,"[83, 93, 34, 60, 90, 45, 42, 41, 91, 36]","[4100118, 4101115, 4102112, 4103109, 4104106, 4105103, 4106100, 4107097, 4108094, 4109091]",c49595381a88911ea853fcaa80ae50010c208b65d62acec6a38ff97d26c7f7ee,660,0,0,0,0,0,2027520,a156cc76e04377a52703c52c8a03b8820ceb4040d86ba30b39d7cc9ae6b83323,True,0
41,HistoryIdentityPopulation,1,67.66999816894531,9.141901499999221,"[75, 52, 20, 80, 90, 93, 4, 51, 13, 98]","[4200121, 4201118, 4202115, 4203112, 4204109, 4205106, 4206103, 4207100, 4208097, 4209094]",48ada7c01d8faee6a6497016fee0cdf51face997e6a127458f7a9f0886414ea4,660,0,0,0,0,0,2027520,35f8981a7f5ff10a904aa688a23223e2b36cabfd50289e6adf3ce069b07be056,True,0
42,HistoryIdentityPopulation,1,57.77000045776367,10.055637100012973,"[98, 79, 17, 10, 3, 12, 29, 26, 54, 58]","[4300124, 4301121, 4302118, 4303115, 4304112, 4305109, 4306106, 4307103, 4308100, 4309097]",41d0dd0f5e5169ccd7d9a9b4302110a8621d61dde0fa380f14991eb7614602ca,660,0,0,0,0,0,2027520,73bf241f0a69da7bbb8946c245602e8429ad2b5bdb35bb911d45a3aef9fe5e81,True,0
43,HistoryIdentityPopulation,1,62.060001373291016,10.80659629998263,"[32, 15, 47, 9, 7, 16, 24, 57, 71, 28]","[4400127, 4401124, 4402121, 4403118, 4404115, 4405112, 4406109, 4407106, 4408103, 4409100]",5a9cd09c9df050e1027d0f6c8cfc782899eb76276b5fa82f3f8696334d05f14a,660,0,0,0,0,0,2027520,b3592186cd7ce0728b457bfe41b5c9734a0f9db4ada2a7b2f92a2b8152e00a48,True,0
44,HistoryIdentityPopulation,1,63.189998626708984,8.82862529999693,"[76, 67, 81, 35, 44, 49, 32, 99, 69, 51]","[4500130, 4501127, 4502124, 4503121, 4504118, 4505115, 4506112, 4507109, 4508106, 4509103]",4bba0b341781a4fbb0197081bc1932671f2b7cfc5b7b79908afde450d5b0f525,660,0,0,0,0,0,2048640,b05a0de3c637fd619364c794d34b2944fb6b8ad76d05d8462fb37c2a14cbc7c5,True,0
45,HistoryIdentityPopulation,1,55.09000015258789,8.803125299979001,"[42, 4, 95, 71, 84, 22, 61, 5, 10, 28]","[4600133, 4601130, 4602127, 4603124, 4604121, 4605118, 4606115, 4607112, 4608109, 4609106]",a1f3c8f9a001608919163a5b259013cbd313af66cd3e3c12bcbfe33ac9930f9a,660,0,0,0,0,0,2048640,f5ef0bf177b7c23a04bc57367facde03027f2189374d67fe503be2cff31d7d0d,True,0
46,HistoryIdentityPopulation,1,66.11000061035156,10.155101399985142,"[61, 52, 80, 26, 37, 44, 85, 1, 99, 55]","[4700136, 4701133, 4702130, 4703127, 4704124, 4705121, 4706118, 4707115, 4708112, 4709109]",86ca07e8f5c43b52257601ee4ac12df0227f41bfac2710066fa8c9a29b0409be,660,0,0,0,0,0,2048640,fd958b077af6c5058b913880b3a572814745e53f125ed66875ceec50673fbf60,True,0
47,HistoryIdentityPopulation,1,61.189998626708984,8.795089899998857,"[23, 10, 75, 28, 19, 22, 43, 13, 98, 85]","[4800139, 4801136, 4802133, 4803130, 4804127, 4805124, 4806121, 4807118, 4808115, 4809112]",05a1a5be7b97d084b603534e88f2c109387a1fa625e61a01c5c4b9d6ce16d950,660,0,0,0,0,0,2048640,92b37cadc11210db8b757bd81a4919e961df3fe3c8c1f520a9e2cc363561ed0d,True,0
48,HistoryIdentityPopulation,1,61.599998474121094,8.01014669999131,"[18, 1, 96, 63, 59, 71, 88, 39, 97, 68]","[4900142, 4901139, 4902136, 4903133, 4904130, 4905127, 4906124, 4907121, 4908118, 4909115]",df87dc8b6ca256eeb6caf2ad47e4d97dc42e389fc37c839d80c1ca6c1cda6099,660,0,0,0,0,0,2069760,73649e3c560414751a019c93764370ab110f5be0dc07e4a3904acfe0e0bba34a,True,0
49,HistoryIdentityPopulation,1,59.5099983215332,11.459351600002265,"[44, 11, 93, 47, 54, 9, 81, 94, 45, 65]","[5000145, 5001142, 5002139, 5003136, 5004133, 5005130, 5006127, 5007124, 5008121, 5009118]",ce52d807ab6d33c01c589aebe2c61a722b7a11a6e5af6c577df3af9403bfc290,660,0,0,0,0,0,2112000,63703815716f4b36eb57951f35b2dfca705a57e5277355989afa6ae8bb6effb7,True,0
50,HistoryIdentityPopulation,1,62.38999938964844,8.04073109998717,"[48, 43, 51, 76, 99, 39, 38, 73, 89, 80]","[5100148, 5101145, 5102142, 5103139, 5104136, 5105133, 5106130, 5107127, 5108124, 5109121]",6db1c3d35808857d3d6d6de97d003bcafd0320e55a87b864dd1acb2dfd274cad,660,0,0,0,0,0,2112000,a1dcdd5410f765dbc5bb9c317bfdf7e827682c379994ef5cdcebb22239f6a12d,True,0
51,HistoryIdentityPopulation,1,56.099998474121094,9.893697000021348,"[34, 16, 99, 17, 62, 58, 96, 29, 90, 30]","[5200151, 5201148, 5202145, 5203142, 5204139, 5205136, 5206133, 5207130, 5208127, 5209124]",cb24458f9ca27534e8303ed6963a9da047a136119a1284c54f352540d3d316ab,660,0,0,0,0,0,2112000,e348cd888538b6332605be1b14586a99c3963f4489205346420fd09370e2a783,True,0
52,HistoryIdentityPopulation,1,66.94999694824219,8.525768799998332,"[8, 59, 78, 95, 25, 35, 99, 86, 54, 64]","[5300154, 5301151, 5302148, 5303145, 5304142, 5305139, 5306136, 5307133, 5308130, 5309127]",25fff03acb1f79802df5a2a4e4292fcac98c6ef766588668a57a66e15364aac5,660,0,0,0,0,0,2112000,a52c59bce87111ddda9aa58f1806e5c03b03f23f15870f3b3691a697171e77ba,True,0
53,HistoryIdentityPopulation,1,60.72999954223633,10.379043699998874,"[87, 42, 55, 74, 37, 10, 26, 23, 57, 62]","[5400157, 5401154, 5402151, 5403148, 5404145, 5405142, 5406139, 5407136, 5408133, 5409130]",d994065182a7844f95f8088a92805c9a658fe0254bf2acf76fb38b59d78f8de4,660,0,0,0,0,0,2112000,72337b9dd0c88a94d8cbec43a18341858b429bbac2e5bbe72ee16bb92a50a343,True,0
54,HistoryIdentityPopulation,1,51.72999954223633,7.728314400010277,"[84, 2, 76, 48, 68, 40, 92, 8, 42, 46]","[5500160, 5501157, 5502154, 5503151, 5504148, 5505145, 5506142, 5507139, 5508136, 5509133]",3a78976a074ae83fadea238e25921d45a4ff4793b79f3ede7853b98b17bb6553,660,0,0,0,0,0,2112000,c3e4ec08df41b3afdc0c68e502abfc4402a72751eb5905fd445cbb8476f5dd82,True,0
55,HistoryIdentityPopulation,1,67.12000274658203,10.020605199999409,"[91, 70, 16, 58, 10, 35, 31, 86, 62, 54]","[5600163, 5601160, 5602157, 5603154, 5604151, 5605148, 5606145, 5607142, 5608139, 5609136]",a0b905a6c5e703bb5990527f3e5934849fb14c1b05603ec297eed4488febb4b9,660,0,0,0,0,0,2112000,7cd4c0df5c477f679cadc5554c806a90591e60608ae66147c35c25b3152db151,True,0
56,HistoryIdentityPopulation,1,65.16000366210938,10.175251699984074,"[32, 41, 20, 75, 69, 62, 74, 38, 80, 58]","[5700166, 5701163, 5702160, 5703157, 5704154, 5705151, 5706148, 5707145, 5708142, 5709139]",787d1ba923c5a57fafd3fb177737a6449a5c5e075b477af187386cc2d9b54d56,660,0,0,0,0,0,2112000,08964d1fc0e35ccb500aff86806eb932fab85b6f9477f0e9c4c5bbca5497c52f,True,0
57,HistoryIdentityPopulation,1,56.97999954223633,8.357914300024277,"[89, 0, 84, 16, 97, 67, 41, 38, 59, 60]","[5800169, 5801166, 5802163, 5803160, 5804157, 5805154, 5806151, 5807148, 5808145, 5809142]",21a3543c41f6cc31b21789355cd7280fa2e0b4b304a99d8b8d0454f7dea450c7,660,0,0,0,0,0,2112000,38314749fafdc46d74cffdc08b031f4edbe34577e68799e123db0ec10d28c1ff,True,0
58,HistoryIdentityPopulation,1,53.369998931884766,8.432869999989634,"[59, 21, 34, 35, 95, 41, 9, 12, 47, 42]","[5900172, 5901169, 5902166, 5903163, 5904160, 5905157, 5906154, 5907151, 5908148, 5909145]",c19d33980a3103e29e34c77ff4cd84c64a1ac2bd9d03ef88b2646ee1bd4a097e,660,0,0,0,0,0,2112000,d5b0f85eca1aa8b9ca90906d8a19d57a5abecbf16e934a4af6112712baaca9d3,True,0
59,HistoryIdentityPopulation,1,61.20000076293945,10.214178299997002,"[88, 78, 75, 43, 57, 63, 34, 79, 17, 93]","[6000175, 6001172, 6002169, 6003166, 6004163, 6005160, 6006157, 6007154, 6008151, 6009148]",ccf215cffd65a5d95ad1f493229af756bb2a21eb3d45176075d94652aabe17bb,660,0,0,0,0,0,2112000,885920600f1808b2d5b4f065f778068ec96e574e813d0ed982f6a61b3bd77224,True,0
60,HistoryIdentityPopulation,1,64.73999786376953,7.683414099999936,"[76, 35, 9, 75, 32, 97, 53, 72, 27, 91]","[6100178, 6101175, 6102172, 6103169, 6104166, 6105163, 6106160, 6107157, 6108154, 6109151]",f215b179699ec9d87dba400a8792aa31ce3d8c47e6bb1be57acdb574a47daade,660,0,0,0,0,0,2112000,a1ce99fbfc6891cfaad313c1a1daccd44bf40d8bc48e1400460dae9bac57e0e9,True,0
61,HistoryIdentityPopulation,1,66.75,12.066852699994342,"[60, 14, 9, 43, 15, 68, 7, 44, 65, 89]","[6200181, 6201178, 6202175, 6203172, 6204169, 6205166, 6206163, 6207160, 6208157, 6209154]",dc78b5d28be944c1d15b9ff146cc0ae0ef2d99152ff88973816c4d42ad4007b5,660,0,0,0,0,0,2112000,764c74647467fc6abff8cc77248a1066a7a814a56f7ed00931818f15282a5e28,True,0
62,HistoryIdentityPopulation,1,63.790000915527344,9.78156050000689,"[56, 67, 28, 93, 30, 71, 78, 48, 25, 19]","[6300184, 6301181, 6302178, 6303175, 6304172, 6305169, 6306166, 6307163, 6308160, 6309157]",13a2ac6663025ad9fad45c1120f16106d92c4b22cffda9c660dbdec7d4b87023,660,0,0,0,0,0,2112000,c98ad9b514f4f01e9bbd908e3ad239c8985890878e257e1cbb53cb3e1f15efbc,True,0
